# Processed galaxy data ready for 3D visualization
# Columns: x, y, z (3D coordinates), g_mag (brightness), red, green, blue (colors), galaxy_type
# Coordinates are centered and scaled for optimal visualization
x,y,z,g_mag,red,green,blue,galaxy_type
0.856,0.254,0.892,16.17,1.0,1.0,0.233,elliptical
-8.944,-0.604,-1.076,20.03,0.239,0.991,0.646,dwarf
5.622,0.316,-0.156,19.22,0.429,0.749,1.0,spiral
4.975,0.223,-0.248,17.58,1.0,0.958,0.347,elliptical
23.161,-0.012,-0.84,17.1,0.58,1.0,1.0,spiral
23.161,0.004,-0.844,18.49,1.0,0.829,0.316,elliptical
7.641,-0.069,-0.724,20.72,0.099,0.781,0.678,dwarf
5.541,0.371,0.344,18.52,0.359,0.853,1.0,spiral
-15.333,1.468,2.224,18.2,1.0,0.874,0.133,elliptical
1.454,0.845,-0.332,18.5,0.293,0.831,1.0,spiral
-0.914,0.413,-0.352,18.5,1.0,0.774,0.268,elliptical
-8.889,-0.618,1.066,17.46,1.0,0.75,0.205,elliptical
23.162,0.042,-0.846,15.87,0.411,1.0,1.0,spiral
11.502,0.277,-0.502,16.53,1.0,0.952,0.207,elliptical
3.052,0.719,-0.61,18.44,0.323,0.764,1.0,spiral
23.161,0.006,-0.835,18.68,0.351,0.88,1.0,spiral
-56.12,-1.426,1.003,18.58,0.23,1.0,0.844,dwarf
3.378,0.815,-0.521,17.97,1.0,0.655,1.0,irregular
23.163,0.022,-0.793,18.45,1.0,0.734,0.145,elliptical
-7.961,-0.377,0.378,17.26,0.525,1.0,1.0,spiral
-13.281,1.582,0.504,16.41,0.474,1.0,1.0,spiral
-2.722,-1.03,-0.758,17.46,0.405,0.876,1.0,spiral
23.162,-0.007,-0.806,18.39,0.334,0.779,1.0,spiral
-37.795,-1.225,3.476,20.11,0.975,0.479,0.799,irregular
-29.773,2.313,-0.84,19.74,1.0,0.688,0.296,elliptical
-29.702,-1.001,-0.2,19.15,0.237,0.802,1.0,spiral
9.782,-0.088,-0.854,16.67,0.433,1.0,1.0,spiral
-26.1,-1.724,1.489,20.78,0.792,0.499,0.118,elliptical
4.757,-0.38,-0.539,16.39,0.385,1.0,1.0,spiral
17.405,0.287,-0.352,17.32,0.512,1.0,1.0,spiral
2.613,0.344,-0.715,17.71,1.0,0.907,0.347,elliptical
-36.806,-0.614,3.904,19.59,0.222,0.646,1.0,spiral
-87.898,-1.983,1.693,18.77,0.458,0.946,1.0,spiral
23.163,-0.03,-0.795,17.78,1.0,0.852,0.212,elliptical
6.585,0.722,-0.943,17.39,1.0,0.484,1.0,irregular
-11.471,0.884,0.784,18.07,0.419,0.83,1.0,spiral
23.164,-0.023,-0.765,18.76,1.0,0.71,0.178,elliptical
