# Sample galaxy data (mimicking SDSS format)
# Generated for galaxy visualization testing
# Columns: ra (degrees), dec (degrees), g_mag, r_mag, i_mag, redshift, galaxy_type
# Data is synthetic but follows realistic distributions
ra,dec,g_mag,r_mag,i_mag,redshift,galaxy_type
179.372701,4.253572,16.17,15.2,14.76,0.0219,elliptical
181.040363,-0.397078,20.03,19.37,19.21,0.031,dwarf
179.021211,2.123782,19.22,18.93,18.69,0.0174,spiral
179.331809,1.78035,17.58,16.97,16.65,0.018,elliptical
180.537724,0.352621,17.1,16.31,15.97,0.001,spiral
179.700762,0.110191,18.49,17.83,17.4,0.001,elliptical
180.233551,0.424272,20.72,19.95,19.91,0.0155,dwarf
178.856745,3.643688,18.52,18.27,17.92,0.0175,spiral
177.872753,4.434435,18.2,17.12,16.59,0.0371,elliptical
177.870223,1.292329,18.5,17.7,17.47,0.0213,spiral
179.054912,1.125917,18.5,17.54,17.3,0.0235,elliptical
181.066224,3.303925,17.46,16.24,16.24,0.031,elliptical
177.627096,0.039457,15.87,15.06,14.63,0.001,spiral
178.746461,1.551915,16.53,15.73,15.19,0.0119,elliptical
181.51836,0.43285,21.47,20.92,20.73,0.0682,irregular
178.05026,0.639676,18.44,17.79,17.49,0.0198,spiral
179.587055,0.610539,18.68,18.11,17.78,0.001,spiral
181.015095,1.318148,18.58,18.09,17.83,0.0751,dwarf
177.757394,0.893232,17.97,17.59,17.27,0.0195,irregular
178.710276,2.860678,18.45,17.73,17.12,0.001,elliptical
180.667649,2.178873,17.26,16.48,15.92,0.0301,spiral
177.582939,2.060465,16.41,15.71,15.55,0.0351,spiral
182.18365,0.187605,17.46,16.75,16.3,0.0252,spiral
180.276004,2.148253,18.39,17.63,17.52,0.001,spiral
181.129778,3.985551,20.11,19.25,18.95,0.0581,irregular
177.545985,0.007358,19.74,18.74,18.52,0.0505,elliptical
181.060896,0.686245,19.15,18.3,17.94,0.0504,spiral
180.341543,-0.031626,16.67,16.23,15.94,0.0135,spiral
181.960233,2.655693,20.78,19.86,19.67,0.0471,elliptical
181.112261,0.903862,16.39,15.7,15.43,0.0182,spiral
177.577283,4.141593,17.32,16.57,16.11,0.0064,spiral
179.08461,0.347464,17.71,16.73,16.46,0.0202,elliptical
180.575036,4.450269,19.59,18.98,18.54,0.0572,spiral
181.01242,1.297456,18.77,18.07,17.69,0.1048,spiral
181.491476,2.74982,17.78,16.84,16.62,0.001,elliptical
177.96991,2.391401,21.47,21.25,20.84,0.0225,spiral
177.652501,-0.313259,17.39,16.99,16.43,0.0165,irregular
178.579105,2.614452,18.07,17.6,16.98,0.0334,spiral
181.130457,4.37926,18.76,17.98,17.65,0.001,elliptical
177.892282,-0.373246,21.0,20.25,20.24,0.0434,dwarf
178.282185,0.751214,18.63,17.48,17.02,0.0594,elliptical
180.558604,1.598,19.9,19.44,19.08,0.0545,spiral
179.870869,-0.010829,15.95,15.07,14.97,0.001,elliptical
180.57925,2.675468,20.16,19.85,19.37,0.0418,spiral
180.793468,0.314672,17.7,17.08,16.69,0.0195,spiral
180.377371,1.44085,20.06,19.55,19.17,0.0524,elliptical
182.305953,4.026753,17.27,16.63,16.2,0.0034,spiral
177.61636,3.572342,18.54,18.07,17.64,0.0315,spiral
181.175355,3.517405,18.83,18.37,18.34,0.0039,spiral
181.382065,1.204018,18.61,17.78,17.36,0.0424,irregular
178.015619,4.012765,16.87,15.78,15.42,0.0258,elliptical
177.554188,4.02691,18.49,17.91,17.6,0.0368,spiral
180.659186,1.742228,19.81,19.45,19.03,0.0514,spiral
181.448091,-0.043969,17.59,16.83,16.28,0.013,elliptical
179.254575,0.085335,18.92,18.05,17.81,0.0333,spiral
181.6093,3.031211,15.83,15.51,15.32,0.001,spiral
181.385735,2.292021,17.55,16.95,16.75,0.0145,spiral
178.09409,0.087631,18.12,16.92,16.53,0.0293,elliptical
178.92856,3.842996,18.1,17.31,16.94,0.0221,spiral
180.115489,2.646993,20.08,19.34,18.81,0.0445,elliptical
177.727232,0.904816,20.39,19.6,19.64,0.0596,dwarf
178.440606,1.818492,16.86,16.23,15.88,0.0461,spiral
179.047638,3.568975,18.39,17.2,16.69,0.0213,elliptical
181.830319,-0.273907,19.77,19.26,19.22,0.0648,spiral
182.349572,3.710595,14.59,14.36,14.13,0.001,irregular
181.823612,3.564505,20.51,19.99,19.83,0.0575,dwarf
179.752721,0.145797,19.13,18.47,18.01,0.0621,dwarf
179.290814,0.067788,19.36,18.44,17.86,0.035,elliptical
180.259534,2.30469,17.16,16.74,16.2,0.0292,irregular
178.564821,0.181857,19.59,19.34,19.22,0.001,spiral
182.020793,1.241277,16.92,15.75,15.2,0.0158,elliptical
182.247603,0.235367,15.93,15.45,15.12,0.001,irregular
179.96309,1.143758,17.35,16.47,16.23,0.0233,elliptical
179.228336,3.983942,16.32,15.32,15.0,0.001,elliptical
178.385052,-0.056487,15.85,15.29,14.98,0.001,spiral
180.951974,-0.303439,16.66,15.72,15.33,0.0022,elliptical
181.531006,3.241298,17.18,16.82,16.17,0.0056,spiral
179.344568,1.812674,18.19,17.23,16.37,0.0443,elliptical
178.03586,1.737062,16.53,15.81,15.44,0.0043,elliptical
179.110396,0.55724,20.53,19.75,19.46,0.0749,spiral
177.934601,2.185533,16.97,15.75,15.41,0.001,elliptical
179.315411,2.729586,15.82,14.81,14.51,0.001,elliptical
178.432835,0.925476,14.25,13.51,13.15,0.001,spiral
181.827536,3.58536,18.75,18.35,18.03,0.0425,spiral
180.358063,0.899895,16.82,16.12,15.68,0.001,elliptical
178.712049,0.074184,18.27,17.7,17.31,0.001,elliptical
180.162947,-0.240882,17.1,16.34,15.88,0.0264,spiral
180.478194,1.857881,18.87,18.31,17.95,0.0166,spiral
182.191702,0.406165,18.73,17.82,17.53,0.0296,spiral
181.476337,0.508137,18.59,18.08,17.73,0.0674,spiral
179.294152,3.886003,17.62,16.76,16.57,0.001,spiral
179.006889,3.238047,17.89,17.04,16.51,0.001,elliptical
182.032361,2.62119,18.25,17.53,17.37,0.0145,spiral
181.470126,2.600364,17.72,16.77,16.44,0.001,elliptical
178.742446,3.219731,20.26,19.58,19.34,0.0592,spiral
181.606287,0.053159,18.51,18.31,18.15,0.0327,irregular
178.646257,3.111263,19.16,18.06,17.91,0.0373,elliptical
179.22848,0.407989,15.8,14.85,14.47,0.001,irregular
178.266757,2.431149,17.26,16.35,15.68,0.0244,elliptical
182.112497,3.036193,20.82,19.95,19.41,0.038,spiral
182.171835,4.127843,20.55,19.54,19.23,0.0428,elliptical
179.175986,3.514267,16.48,16.21,15.79,0.0063,spiral
179.23173,1.234766,15.7,14.85,14.62,0.001,elliptical
178.381935,1.991839,17.65,16.91,16.34,0.0391,spiral
177.565472,2.817687,16.8,16.23,15.93,0.0112,spiral
180.476925,-0.164618,17.74,16.87,16.55,0.0064,elliptical
177.682748,1.860335,19.17,18.8,18.71,0.0069,elliptical
180.298202,0.276201,15.89,15.44,15.31,0.0339,spiral
177.626932,0.280763,17.39,16.49,16.19,0.001,elliptical
180.859464,-0.401447,17.21,16.52,16.4,0.0264,spiral
177.997207,0.715861,17.78,16.83,16.18,0.001,elliptical
178.524921,0.965739,19.59,19.46,19.03,0.0322,irregular
181.587218,1.209087,19.97,19.72,19.31,0.0115,spiral
179.547058,2.260236,18.32,17.74,17.52,0.0311,spiral
181.84234,1.937156,18.4,17.49,16.81,0.0374,irregular
178.789438,0.19678,19.03,18.43,18.29,0.0148,irregular
177.591953,4.071494,15.56,14.85,14.24,0.0099,spiral
181.648709,0.532106,18.38,17.59,17.04,0.0441,spiral
178.376856,4.07206,18.58,18.45,18.2,0.0297,spiral
180.515761,0.726746,16.62,16.29,16.13,0.0272,spiral
180.332023,1.880252,17.61,16.68,16.19,0.001,elliptical
177.757129,1.981831,18.88,18.12,17.73,0.0642,elliptical
180.942012,1.674137,18.75,18.04,17.91,0.0461,spiral
180.451153,1.304869,17.89,17.16,16.84,0.001,spiral
181.864729,3.161124,21.32,20.5,20.34,0.0658,irregular
179.947125,0.606047,20.93,20.37,20.06,0.0238,dwarf
182.077441,-0.33027,18.04,17.18,16.61,0.0188,elliptical
181.722747,1.095502,19.17,18.81,18.65,0.0255,irregular
177.884766,2.981444,17.61,16.98,16.62,0.001,spiral
181.453616,1.093763,17.82,16.74,16.33,0.0395,elliptical
182.195338,3.493916,21.72,21.43,21.28,0.0075,dwarf
180.637527,3.868386,20.05,19.12,18.55,0.0301,dwarf
178.693886,0.052371,16.49,16.1,16.09,0.001,spiral
180.898236,0.591269,20.77,20.34,20.1,0.0612,irregular
180.567057,0.33517,21.67,20.68,20.74,0.0582,dwarf
178.38264,0.602431,17.04,16.21,15.69,0.001,spiral
180.980103,0.26948,17.73,17.44,16.72,0.0361,irregular
180.400431,-0.042566,17.9,17.51,17.21,0.0257,irregular
180.77621,2.254287,15.38,15.03,14.6,0.001,spiral
179.979379,-0.094769,17.22,16.58,16.28,0.036,spiral
179.902933,2.462039,21.38,21.22,21.3,0.0631,irregular
181.89315,3.48713,18.48,17.48,16.92,0.0482,elliptical
180.593057,3.263583,17.44,17.01,16.81,0.0243,spiral
181.589835,3.660671,17.73,16.82,16.62,0.0322,elliptical
180.670029,2.199927,17.82,17.0,16.52,0.0192,elliptical
179.209361,2.663109,18.2,17.64,17.17,0.0014,irregular
177.836753,2.410852,17.28,16.65,16.3,0.0023,spiral
177.622935,-0.389382,20.35,19.76,19.54,0.0811,spiral
178.868133,4.485623,16.16,15.59,15.19,0.0213,spiral
178.603848,-0.088095,15.96,14.89,14.39,0.001,elliptical
179.598637,2.69263,19.35,18.79,18.59,0.0201,spiral
177.65567,2.758334,17.88,17.05,16.7,0.0279,spiral
181.354609,3.723916,16.37,15.4,14.81,0.0135,elliptical
179.907612,0.086541,16.99,16.03,15.73,0.001,spiral
177.821045,2.409857,17.05,16.25,15.99,0.01,spiral
177.862234,1.462468,15.6,14.55,14.03,0.0045,elliptical
181.399255,-0.301906,17.18,16.36,15.6,0.0114,elliptical
181.012325,2.298243,18.31,18.12,17.86,0.0095,spiral
177.666016,-0.107108,18.29,17.91,17.46,0.0354,spiral
178.500751,0.337413,20.1,19.31,19.01,0.0281,spiral
181.045303,3.854846,16.8,15.69,15.27,0.027,elliptical
